generation,entity_id,alpha,theta,max_field_sizes,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,fitness
2,2,3.68,1.02,28,1.608,0.702,3.949,0.875,1.231,0.965,2.052,3.42,0.702,7.848,0.766,17.76,5.229,7.566,4.1,12.151,17.76,0.766,0.0,0.0,0.0,0.0,100.2,4.5,173.5,58.657,0.028,0.999,8.971,8.52,9.4,0.238,8.98,8.795,9.145,9.4,8.52,448.55,426.0,470.0,11.91,449.0,439.75,457.25,470.0,426.0,0.1340297770352081
2,3,4.26,2.2,64,1.759,1.121,3.017,0.522,1.676,1.367,1.899,2.434,1.121,3.487,0.952,12.322,3.46,1.865,1.259,3.988,7.6,0.952,0.0,0.0,0.0,0.0,33.838,5.0,120.0,36.003,0.027,0.998,8.128,7.8,8.58,0.214,8.09,7.98,8.33,8.58,7.8,406.4,390.0,429.0,10.698,404.5,399.0,416.5,429.0,390.0,0.11088975715305244
2,4,4.18,3.34,33,2.183,1.62,3.614,0.526,2.003,1.874,2.181,2.377,1.62,3.0,1.44,13.431,2.842,1.828,1.644,2.592,3.539,1.44,0.0,0.0,0.0,0.0,21.37,6.9,135.25,28.968,0.029,1.0,3.571,3.3,3.82,0.154,3.56,3.475,3.74,3.82,3.3,178.55,165.0,191.0,7.704,178.0,173.75,187.0,191.0,165.0,0.06530879619686462
2,5,6.72,1.32,30,1.911,1.469,4.263,0.609,1.745,1.57,1.865,2.178,1.469,2.684,1.212,14.227,2.936,1.613,1.423,1.82,2.033,1.212,0.0,0.0,0.0,0.0,21.225,6.5,106.0,26.25,0.029,1.0,4.066,3.88,4.28,0.101,4.05,4.0,4.125,4.28,3.88,203.3,194.0,214.0,5.041,202.5,200.0,206.25,214.0,194.0,0.09170163524379406
2,6,9.68,1.42,71,2.198,1.697,2.964,0.304,2.109,1.994,2.393,2.964,1.697,1.982,1.251,3.476,0.553,1.801,1.611,2.276,2.954,1.251,0.0,0.0,0.0,0.0,12.0,6.0,20.5,4.72,0.027,1.0,5.627,5.36,5.8,0.1,5.64,5.56,5.7,5.8,5.36,281.35,268.0,290.0,4.993,282.0,278.0,285.0,290.0,268.0,0.06412794824614637
2,7,7.04,3.08,51,3.054,2.065,4.607,0.526,2.994,2.756,3.18,3.759,2.498,2.944,1.715,10.074,1.755,2.439,2.202,2.728,3.374,1.715,0.0,0.0,0.0,0.0,17.538,8.25,90.5,17.318,0.028,1.0,2.988,2.82,3.12,0.083,2.99,2.935,3.05,3.12,2.82,149.4,141.0,156.0,4.128,149.5,146.75,152.5,156.0,141.0,0.021982519189706336
2,8,2.9,5.66,76,2.519,1.722,4.889,0.863,2.284,1.901,2.744,3.41,1.722,4.443,1.489,11.849,3.146,3.064,1.87,6.161,11.849,1.489,0.0,0.0,0.0,0.0,37.525,7.5,114.5,31.953,0.026,0.995,6.759,6.26,7.2,0.235,6.77,6.585,6.95,7.2,6.26,337.95,313.0,360.0,11.775,338.5,329.25,347.5,360.0,313.0,0.04290135796975865
2,9,5.58,4.78,86,3.814,2.759,6.811,0.864,3.583,3.237,4.111,4.633,2.759,4.294,2.281,16.762,3.082,3.445,2.755,4.258,6.064,2.281,0.0,0.0,0.0,0.0,29.388,10.0,87.5,22.313,0.026,1.0,4.156,3.94,4.44,0.139,4.16,4.035,4.245,4.44,3.94,207.8,197.0,222.0,6.961,208.0,201.75,212.25,222.0,197.0,0.008499747216028477
2,10,10.22,1.0,6,3.495,2.573,5.525,0.825,3.07,2.943,4.08,5.525,2.573,5.036,1.939,14.637,4.175,2.536,2.287,7.626,14.637,1.939,0.0,0.0,0.0,0.0,30.638,8.5,100.0,30.378,0.03,1.0,1.024,1.0,1.1,0.025,1.02,1.0,1.04,1.1,1.0,51.2,50.0,55.0,1.249,51.0,50.0,52.0,55.0,50.0,0.012664759553910391
2,11,8.06,2.08,16,3.444,2.785,4.523,0.432,3.374,3.113,3.758,4.523,2.785,3.436,2.372,8.144,1.257,2.993,2.797,3.611,4.813,2.372,0.0,0.0,0.0,0.0,20.912,11.75,64.25,14.447,0.03,1.0,1.48,1.38,1.6,0.055,1.48,1.44,1.52,1.6,1.38,74.0,69.0,80.0,2.739,74.0,72.0,76.0,80.0,69.0,0.013505424954745424
2,12,9.92,2.52,86,4.165,2.634,8.029,1.307,3.932,3.256,4.717,6.024,2.634,4.632,2.032,14.604,3.12,3.358,2.667,5.658,9.111,2.032,0.0,0.0,0.0,0.0,29.663,10.0,93.25,25.013,0.026,1.0,3.84,3.6,3.96,0.094,3.84,3.795,3.9,3.96,3.7,192.0,180.0,198.0,4.722,192.0,189.75,195.0,198.0,185.0,0.0054842078829202764
